date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,3,1,7,0,0,Chriszoff (IRE),3,C,136,,1:53.98,113.98,1.44,Hector Crouch,Archie Watson,4104,77,82,Zoffany (IRE),Countess Chrissy GB,Declaration Of War,Hambleton Racing Ltd Xviii Partner,Made all - took keen hold - pushed along over 1f out - ridden and kept on inside final furlong(op 4/11)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,6,2,6,.5,.5,Quietness (GB),3,F,124,,1:54.08,114.08,17.00,Trevor Whelan,George Baker,1926.60,–,66,Bated Breath (GB),Quiet Queen GB,Sulamani,Alvediston Stud Miss Saba Bannatyne,In touch with leaders - headway over 2f out - ran green and hung left over 1f out - ridden and kept on inside final furlong - no extra towards finish (jockey said filly ran green and hung left-handed in the straight)(op 20/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,5,3,5,4.5,4,Hill Filly (GB),3,F,124,h,1:54.88,114.88,4.50,Sean Levey,Hughie Morrison,963.68,–,57,Kingston Hill (GB),Respectfilly GB,Mark Of Esteem,The Fairy Story Partnership,Prominent - headway over 2f out - ridden over 1f out - weakened inside final furlong(op 4/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,7,4,2,6.5,2,Rayena (FR),3,F,119,tv,1:55.28,115.28,34.00,Billy Loughnane,Patrick Owens,481.84,–,51,Harry Angel (IRE),Rima (IRE),Marju,S Fisher A Kirwan E Prosser J Burke,Prominent - pushed along and hung left over 2f out - ridden and weakened over 1f out(op 40/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,4,5,1,7,.5,Buxlow Boy (GB),3,G,129,,1:55.38,115.38,11.00,Stefano Cherchi,David Menuisier,,–,57,Cityscape (GB),Buxlow Belle (FR),Authorized,Mrs A K Oldfield,Upset in stalls - midfield - pushed along and ran green over 2f out - ridden and no impression over 1f out (jockey said gelding was restless in the stalls)(tchd 11/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,8,6,3,7.75,.75,Who Loves You Baby (GB),3,F,122,,1:55.53,115.53,67.00,Nicola Currie,John Ryan,,–,48,Expert Eye (GB),Dona Viola GB,Cacique,Gee Gees Wine Bar,Midfield - pushed along over 2f out - ridden and no impression over 1f out(op 80/1 tchd 100/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,2,7,4,8.25,.5,Fravanco (GB),4,G,140,,1:55.63,115.63,19.00,George Rooke,Michael Madgwick,,–,54,Proconsul (GB),Meebo (IRE),Captain Rio,Whytehall Partnership,Towards rear - pushed along and some headway over 2f out - ridden and weakened over 1f out(op 14/1)
2023-05-30,GB,Lingfield,6:40,At The Races App Form Study Restricted Novice Stakes (For Horses In Bands C And D) (GBB Race),Flat,Class 5,,,3-4yo,,1m1f,9f,1811,Good To Firm,8,1,8,8,66.25,58,Beggarmans Road (IRE),4,G,140,,2:7.23,127.23,41.00,Theodore Ladd,Camilla Poulton,,–,–,Elzaam (AUS),Kiralik GB,Efisio,N Hassan,In rear throughout - bled from the nose (vet said gelding had bled from the nose)(op 33/1)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,4,1,6,0,0,Richard P Smith (IRE),4,G,133,v,2:8.42,128.42,6.50,Saffie Osborne,Ed Dunlop,3873.16,73,80,Belardo (IRE),Illico GB,Dansili,David Hicken,Ducked left start - made all - pushed along over 1f out - ridden and kept on well inside final furlong(tchd 5/1 and tchd 6/1)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,5,2,7,0.2,0.2,Eklil (GB),4,G,129,,2:8.46,128.46,5.50,Callum Shepherd,Rae Guest,1817.44,69,75,Invincible Spirit (IRE),Raaqy (IRE),Dubawi,Derek J Willis,Prominent - ridden over 1f out - kept on inside final furlong - just held(op 4/1)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,3,3,2,.75,.5,Balgair (GB),9,G,134,h,2:8.57,128.57,7.00,James Doyle,Tom Clover,907.98,74,79,Foxwedge (AUS),Glencal GB,Compton Place,Newmarket Racing Club Hqi,In touch with leaders - pushed along and headway over 2f out - ridden over 1f out - weakened towards finish(op 7/1 tchd 6/1 and tchd 15/2)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,6,4,1,1.75,1,Cavalluccio (IRE),4,G,127,h,2:8.77,128.77,1.91,Kieran ONeill,Alice Haynes,454.36,67,70,Caravaggio (USA),Gale Song GB,Invincible Spirit,The Bruiser Boyz And Partner,Towards rear - headway from 2f out - ridden over 1f out - no impression inside final furlong - weakened towards finish(tchd 5/6 and tchd Evens)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,1,5,5,3,1.25,Golden Mayflower (GB),4,F,137,tp,2:9.02,129.02,9.00,Stefano Cherchi,Amy Murphy,226.44,77,77,Golden Horn (GB),Pelerin (IRE),Shamardal,Racing To Profit Syndicate Partner,Hampered start - towards rear - some headway over 2f out - ridden and weakened over 1f out(op 13/2 tchd 8/1)
2023-05-30,GB,Lingfield,6:10,Download The At The Races App Handicap,Flat,Class 5,,0-75,4yo+,,1m2f,10f,2012,Good To Firm,6,7,6,4,5.5,2.5,Azamhan (FR),5,M,124,,2:9.52,129.52,67.00,Rhys Clutterbuck,Richard Hawker,,64,59,Soldier Hollow (GB),Angel Dragon (GER),Royal Dragon,A Selway P Wavish B Hawker,Hampered start - in rear - pushed along and no impression from 2f out(tchd 100/1)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,2,1,6,0,0,King Cabo (USA),4,G,135,,1:22.50,82.50,6.50,Cieren Fallon,Luke Dace,3873.16,69,78,Carpe Diem (USA),Cabo Queen (CAN),More Than Ready,Prof Di Lawrence Watt,Led - pushed along from 2f out - headed 1f out - ridden and led again inside final furlong - kept on well(tchd 5/1 and tchd 6/1)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,7,2,7,0.2,0.2,Revolutionary Man (IRE),8,G,117,p,1:22.54,82.54,3.50,Connor Planas,Robyn Brisland,1817.44,56,64,Exceed And Excel (AUS),Bint Almukhtar (IRE),Halling,M Seedel,In touch with leaders - pushed along and headway from 2f out - led narrowly 1f out - ridden and headed inside final furlong - kept on(op 3/1 tchd 85/40 and tchd 10/3)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,1,3,4,3.75,3.5,Triggered (IRE),7,G,135,,1:23.25,83.25,4.50,Billy Loughnane,Mark Loughnane,907.98,72,70,Dandy Man (IRE),Triggers Broom (IRE),Arcano,L Bellman S A Mares,In touch with leaders - pushed along from 2f out - outpaced over 1f out - ridden and stayed on inside final furlong(op 4/1)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,5,4,1,4.5,.75,Ajrad (GB),5,G,130,,1:23.40,83.40,10.00,Saffie Osborne,Michael Attwater,454.36,64,60,New Approach (IRE),Princess Cammie (IRE),Camacho,Canisbay Bloodstock,In rear - headway over 2f out - pushed along over 1f out - ridden and weakened inside final furlong(op 15/2)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,4,5,2,5,.5,Wizarding (GB),4,G,131,,1:23.50,83.50,5.50,Joshua Bryan,Heather Main,226.44,65,59,Showcasing (GB),Dutch S GB,Dutch Art,Mondial Racing Robert Haim,In rear - jumped path after 2f - unbalanced over 2f out - ridden over 1f out - headway inside final furlong - not pace to challenge(op 5/2)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,6,6,5,7.5,2.5,Nubough (IRE),7,G,126,t,1:24.00,84.00,23.00,Charlie Bennett,Mark Pattinson,,60,47,Kodiac (GB),Qawaasem (IRE),Shamardal,M I Pattinson Racing,Pressed leader - ridden and weakened over 1f out(op 20/1 tchd 25/1)
2023-05-30,GB,Lingfield,7:40,Sky Sports Racing Sky 415 Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1408,Good To Firm,7,3,7,3,8,.5,Be Prepared (GB),6,G,132,p,1:24.10,84.10,6.00,Kieran ONeill,Rachel Cook & John Bridger,,66,51,Due Diligence (USA),Chicklade GB,Firebreak,P Cook,In touch with leaders - pushed along over 2f out - ridden and weakened over 1f out(op 7/1)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,2,1,8,0,0,Girl Magic (GB),3,F,136,,1:10.12,70.12,5.50,Rowan Scott,Alice Haynes,3873.16,76,84,Havana Grey (GB),Blithe Spirit GB,Byron,Amo Racing Limited,Prominent - pushed along and headway to lead over 1f out - ridden and kept on well inside final furlong(op 11/2)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,6,2,7,1,1,Ravens Up (IRE),3,F,128,,1:10.32,70.32,12.00,Billy Loughnane,Marco Botti,1817.44,71,76,Ravens Pass (USA),Up Tempo GB,Pivotal,Scuderia Blueberry S R L Les Boyer,In touch with leaders - headway from 2f out - ridden and kept on inside final furlong(op 12/1)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,8,3,3,3,2,Class Member (GB),3,F,129,,1:10.72,70.72,13.00,James Doyle,George Boughey,907.98,69,68,Charm Spirit (IRE),Mabinia (IRE),Cape Cross,Clipper Logistics,In touch with leaders - pushed along over 2f out - ridden and headway over 1f out - weakened final 110yds
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,5,4,5,4,1,Overnight Oats (GB),3,G,132,,1:10.92,70.92,9.00,Callum Shepherd,William Muir & Chris Grassick,454.36,72,67,Muhaarar (GB),Integral GB,Dalakhani,Wedgwell Partners,In touch with leaders - bumped after 2f - unbalanced and outpaced over 2f out - ridden over 1f out - stayed on inside final furlong(tchd 15/2 and tchd 17/2)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,7,5,6,5,1,Daytona Lady (IRE),3,F,129,h,1:11.12,71.12,10.00,Kieran ONeill,John Ryan,226.44,69,61,Bungle Inthejungle (GB),Roseau City GB,Cityscape,A Cryans,Towards rear - headway over 2f out - ridden over 1f out - weakened inside final furlong(op 10/1 tchd 17/2)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,9,6,9,5.5,.5,Spirit Of Breeze (IRE),3,G,127,,1:11.22,71.22,6.00,Rhys Clutterbuck,Gary Moore,,67,58,Invincible Spirit (IRE),Gender Dance (USA),Miesques Son,Neal And Sheralee Grayston,Led - ridden from 2f out - headed over 1f out - weakened inside final furlong(tchd 11/2)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,3,7,2,8,2.5,Ascari (GB),3,C,135,,1:11.72,71.72,5.00,Sean Levey,Hughie Morrison,,75,58,Invincible Spirit (IRE),Monzza GB,Montjeu,Michael Kerr Dineen Martin Hughes,Ducked left start - in rear and detached - pushed along over 2f out - some headway inside final furlong - never dangerous(op 10/3)
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,4,8,1,11.25,3.25,Royal Bliss (IRE),3,F,127,,1:12.37,72.37,23.00,Connor Planas,Amy Murphy,,72,44,Ribchester (IRE),Chillala (IRE),Requinto,Daniel Macauliffe Anoj Don,Carried left start - towards rear - ridden and weakened over 1f out
2023-05-30,GB,Lingfield,8:10,Sky Sports Racing HD Virgin 535 Handicap,Flat,Class 5,,0-75,3yo,,6f,6f,1207,Good To Firm,9,1,9,4,15,3.75,Nogos Dream (GB),3,G,137,b,1:13.12,73.12,4.50,George Rooke,Richard Hughes,,77,37,Oasis Dream (GB),Morning Chimes (IRE),Shamardal,Rj Rexton And Cd Dickens,Prominent - jumped path after 2f - pushed along over 2f out - weakened over 1f out (jockey said gelding stopped quickly)(op 10/3 tchd 18/5)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,3,1,4,0,0,Cinderellas Dream (GB),2,F,128,,1:25.29,85.29,1.80,James Doyle,Charlie Appleby,3564,–,73,Shamardal (USA),Espadrille GB,Dubawi,Godolphin,Dwelt start - in rear - jumped path after 2f - pushed along and headway from 2f out - led final 110yds - nudged out towards finish - comfortably(op 8/11)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,5,2,5,0.3,0.3,Shadan Joy (IRE),2,F,128,,1:25.35,85.35,5.50,Franny Norton,Charlie Johnston,1673.10,–,69,Kittens Joy (USA),Shadan (FR),Orpen,Jaber Abdullah,Led - pushed along over 1f out - headed final 110yds - kept on towards finish(op 18/5 tchd 7/2)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,2,3,6,3.5,3.25,Barika (IRE),2,F,125,p,1:25.99,85.99,23.00,Billy Loughnane,Stuart Williams,836.88,–,60,Holy Roman Emperor (IRE),Full Suit GB,Dalakhani,R Mills,Prominent - pushed along from 2f out - ridden and weakened inside final furlong(op 16/1 tchd 14/1)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,4,4,1,6,2.5,Moreginplease (GB),2,F,128,,1:26.49,86.49,12.00,Nicola Currie,John Ryan,418.44,–,54,Time Test (GB),Twilight Sparkle (IRE),Rock Of Gibraltar,Gerry Mcgladery,Took keen hold - towards rear - headway over 2f out - pushed along over 1f out - weakened inside final furlong(op 12/1 tchd 10/1)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,1,5,3,14.5,8.5,Adaay To Win (GB),2,F,128,,1:28.19,88.19,34.00,Saffie Osborne,Ed Dunlop,,–,31,Adaay (IRE),Salvo GB,Acclamation,The 2 Under Partnership,Took keen hold - in touch with leaders - pushed along and weakened over 1f out(op 28/1 tchd 25/1 and tchd 40/1)
2023-05-30,GB,Lingfield,7:10,Free Tips Daily On attheraces.com Maiden Fillies Stakes (GBB Race),Flat,Class 5,,,2yo,F,7f,7f,1408,Good To Firm,6,6,6,2,61.5,47,Sweet Run (IRE),2,F,128,,1:37.59,97.59,4.33,Cieren Fallon,Amy Murphy,,–,–,Camacho (GB),Alyssum (IRE),New Approach,David Howden David Redvers,In touch with leaders - shaken up over 2f out - eased over 1f out - lost action - fatally injured (jockey said filly lost her action; vet said a post-race examination revealed filly to be lame behind)(op 9/2 tchd 5/1)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,7,1,8,0,0,Port Noir (GB),6,M,127,t,1:11.05,71.05,6.50,Franny Norton,Robert Stephens,3245.08,52,61,Harbour Watch (IRE),Cocabana GB,Captain Rio,Cartwright Partnership,Towards rear - some headway but not clear run 2f out - pushed along and headway over 1f out - ridden to lead 1f out - kept on inside final furlong (trainer could offer no explanation for the apparent improvement in form)(op 5/1 tchd 9/2)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,9,2,9,.5,.5,Mr Fayez (IRE),5,G,121,h,1:11.15,71.15,7.50,Kieran ONeill,Dylan Cunha,1522.72,46,53,Ajaya (GB),Yellow Elder (FR),Bering,Dylan Cunha,Pressed leader - lost position over 3f out - pushed along over 2f out - headway over 1f out - ridden and kept on inside final furlong(op 7/1 tchd 8/1)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,2,3,7,.75,0.3,Yimou (IRE),8,G,136,p,1:11.20,71.20,5.50,Jefferson Smith,Dean Ivory,760.74,61,67,Kodiac (GB),Heroine Chic (IRE),Big Bad Bob,K T Ivory,Towards rear - some headway over 2f out - pushed along and headway from over 1f out - ridden inside final furlong - no extra towards finish(op 4/1 tchd 5/1)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,5,4,3,2.5,1.75,Thegreatestshowman (GB),7,G,123,b,1:11.55,71.55,13.00,Ryan Kavanagh,Amy Murphy,380.68,55,55,Equiano (FR),Conversational (IRE),Thousand Words,Amy Murphy Racing Club,Pressed leader - led over 4f out - pushed along over 2f out - headed over 1f out - weakened inside final furlong(op 14/1 tchd 12/1 and tchd 16/1)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,3,5,5,3.25,.75,Agapanther (GB),4,F,135,,1:11.70,71.70,5.50,Joshua Bryan,Heather Main,189.72,60,58,Outstrip (GB),Byroness GB,Byron,Share A Winner Wetumpka Racing,Led narrowly - headed and prominent over 4f out - ridden and weakened over 1f out(op 5/1)
