date,region,course_id,course,race_id,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist_m,going,surface,ran,num,pos,draw,ovr_btn,btn,horse_id,horse,age,sex,lbs,hg,time,dec,jockey_id,jockey,trainer_id,trainer,prize,or,rpr,ts,sire_id,sire,dam_id,dam,damsire_id,damsire,owner_id,owner,silk_url,comment
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,1,1,3,0,0,3432648,Mr Mozart (AUS),3,C,130,,1:25.03,2.05,83227,William Pike,21012,Michael Wayne & John Hawkes,59731.18,–,115,–,633824,Snitzel (AUS),936863,Euro Angel (NZ),695691,Rip Van Winkle,301591,Jamieson Park Syndicate D V Russo Et Al,https://www.rp-assets.com/svg/1/9/5/301591.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,14,2,9,0.3,0.3,3772624,Dalchini (AUS),3,F,119,,1:25.09,71.00,83615,Jay Ford,38052,Lee & Cherie Curtis,19758.06,–,103,–,903909,Flying Artie (AUS),896922,Cinnamon Dove (USA),304579,Gulch,307416,Ms C E Curtis Mystery Downs Et Al,https://www.rp-assets.com/svg/6/1/4/307416.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,11,3,4,2,1.75,3675921,Party For One (AUS),3,F,119,b,1:25.43,9.00,93872,Regan Bayliss,14985,Joseph Pride,9543.01,–,98,–,854186,Rubick (AUS),3675920,Ascalon (NZ),752305,Makfi,295748,Tricolours Racing Syndications Ltd A Lloyd Jones Et Al,https://www.rp-assets.com/svg/8/4/7/295748.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,6,4,6,2.25,0.3,3640115,Loch Eagle (AUS),3,G,123,b,1:25.48,5.50,79529,Hugh Bowman,15999,Kris Lees,4784.95,–,101,–,542432,Lonhro (AUS),1399306,Song Street (IRE),602045,Shamardal,274152,B Perry L Petagna Et Al,https://www.rp-assets.com/svg/2/5/1/274152.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,5,5,8,5.25,3,3735071,Vilana (AUS),3,C,126,,1:26.08,4.80,91403,Sam Clipperton,31153,James Cummings,2822.58,–,96,–,858482,Hallowed Crown (AUS),780651,Retsina (AUS),509318,Redoutes Choice,49845,Godolphin,https://www.rp-assets.com/svg/5/4/8/49845.svg,Broke well - held up - tracked leaders between horses - ridden 2 1/2f out - driven over 1f out - weakened inside final furlong
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,12,6,2,9.5,4.25,3450324,Anagain (AUS),3,F,119,v,1:26.93,61.00,80109,Grant Buckley,12818,Garry Frazer,2150.54,–,78,–,753334,Hinchinbrook (AUS),2943582,Doagain (AUS),538051,Falbrav,301965,G L Frazer Mrs J M Frazer,https://www.rp-assets.com/svg/5/6/9/301965.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,3,7,5,9.75,0.1,3301737,Subterranean (AUS),3,G,128,t,1:27.00,51.00,91402,Chad Schofield,35900,Matthew James Dunn,1881.72,–,87,–,830156,Rebel Dane (AUS),3301736,Caves (AUS),657574,Bernardini,298217,S P Lowe S Gale Et Al,https://www.rp-assets.com/svg/7/1/2/298217.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,8,8,7,12.5,2.75,3523539,Cotehele (NZ),3,G,123,,1:27.53,19.00,85469,Timothy Clark,15511,J OShea,1881.72,–,74,–,716511,Tavistock (NZ),1214361,Bequests (NZ),500343,Stravinsky,303321,Finemore Thoroughbreds Mystery Downs Et Al,https://www.rp-assets.com/svg/1/2/3/303321.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,10,9,1,13.25,.75,3701224,Devils Throat (AUS),3,G,123,b,1:27.68,19.00,87357,Joshua Parr,29575,Peter & Paul Snowden,1881.72,–,72,–,633824,Snitzel (AUS),3005126,Miss Iguacu (AUS),455703,Encosta De Lago,242701,G P I Racing Syndicate,https://www.rp-assets.com/svg/1/0/7/242701.svg,
2022-04-30,AUS,660,Hawkesbury (AUS),811542,5:50,Blacktown Workers Club Group Hawkesbury Guineas  (3yo) (Turf),Flat,,Group 3,,3yo,,1400.0,Heavy,Turf,10,13,10,10,22.75,9.5,3654238,Sebrenco (AUS),3,F,119,,1:29.58,61.00,84944,Kathy OHara,18978,Tracey Bartley,1881.72,–,43,–,704777,Sebring (AUS),888629,Larenco (AUS),455703,Encosta De Lago,305608,Wasskid Racing R J Taylor Et Al,https://www.rp-assets.com/svg/8/0/6/305608.svg,
